item_no,barcode,name,comp_nm
50072,8801117282202,오리온)예감오리지날2P 64G,오리온
50073,8801062521487,롯데상큼달콤롯데샌드화이트크림깜뜨105G,롯데제과
50074,8801037093544,동서)오레오솔티드카라멜100G,동서식품
50075,8801037094084,오레오레드벨벳샌드위치쿠키94G,동서식품
50076,8801037094060,동서)오레오씬즈라즈베리무스84G,동서식품
50077,8801037088205,동서오레오초콜릿크림,동서식품
50078,8801062521449,롯데롯샌상큼달콤파인애플,롯데제과
50089,8801062017188,롯데)칙촉티라미수90G,롯데제과
50090,8801111614139,크라운)뽀또치즈타르트161G,크라운
50091,8801062644032,롯데)명가찰떡초코225G,롯데제과
50092,8801062882687,롯데)빼빼로초코젤리48G,롯데제과
50093,8801062518470,롯데딸기쿠키230G,롯데제과
50094,8801062012718,롯데빼빼로스키니카카오45G,롯데제과
50095,8801062518258,롯데카스타드138G,롯데제과
50096,8801019312724,해태)아이비아몬드블라썸89G,해태
50097,8801019314186,해태)구운고구마27G,해태제과식품
50098,8801062881697,롯데)제크찐치즈칩54G,롯데제과
50099,8801019314742,해태사브레84G,해태제과식품
50100,8801019610172,해태)자가비대파&로메스코소스45G,해태제과식품
50101,8801062883929,롯데)제주감귤비타젤리51G,롯데제과
50102,8801037031454,동서콘푸라이트260G,동서식품
50103,8801062894543,롯데)목캔디스트롱민트38G,롯데제과
50104,8801062016006,롯데)후라보노스트롱26G,롯데제과
50105,8801062323173,롯데)후라보노레이디26G,롯데제과
50111,8801062318414,롯데자일리톨오리지날빅팩23G,롯데제과
50112,8801062886753,롯데자일리톨스윗핑크,롯데제과
50114,8809178852846,아리랑지에프)6년근무설탕홍삼캔디,아리랑지에프
50115,8801062013456,롯데)스카치세가지157G,롯데칠성음료
50116,8801062013395,롯데)말랑카우딸기79G,롯데제과
50117,8801111611312,크라운)콘칩(군옥수수)70G,크라운제과
50129,8801037089639,동서골든오레오100G,동서식품
50145,8801111186230,크라운롱화이트하임47G,크라운제과
50146,8809257430316,와파라면땅70G,써라클
50148,8691216093218,하리보스타믹스175G,엔제이
50162,8691216096219,하리보피치컵175G,기타
50167,8809271410127,포포 포도맛,폰타나
50168,8809633160073,과일향아이스크림머쉬멜로90G,엔제이
50176,8886013505181,게메즈에낙,게메즈에낙
50177,8992741945462,구미런치젤리77G,서광아이에스씨
50199,8801111914208,크라운버터와플,크라운제과
50203,7622210462534,오레오 미니오레오 딸기,동서식품
50257,8801019605000,자가비 90G,기타
50258,8801157551368,일동후디스 냠냠과자 시금치당근 브로콜리볼60g,일동후디스
50259,8801157551351,일동후디스 냠냠 단호박볼60g,일동후디스
50261,8801117780708,오리온무뚝뚝감자칩124G,오리온
55025,8998389262022,롯데밀크바닐라웨이퍼롤250G,롯데제과
55027,8809717810016,청우뽀로로미니초코파이딸기맛107.5G,청우
55028,8801117555016,오리온 마켓오 다쿠아즈 176G,오리온
55029,8801062634453,롯데 빈츠 204G,롯데제과
55030,8801111110624,크라운 국희 땅콩샌드 372G,크라운제과
55031,8801062516896,롯데 칙촉 2번들(168 2입),롯데제과
55032,8801111115223,크라운 초코하임 284G,크라운제과
55035,8801117131111,마켓오오!그래놀라카카오300G,마켓오오
55036,8809010969763,국내산21곡 크리스피롤 미니 초코 130G,온리프라이스
55037,8801111907446,크라운 치즈샌드(240G),크라운제과
55038,8801111900751,크라운옹골진오곡쿠키,크라운제과
55044,8801062521272,롯데와플메이트허니소프트,롯데제과
55045,8801117530716,오리온쫀득쫀득참붕어빵,오리온
55046,8801117133214,오리온다이제초코,오리온
55047,8850332222302,효성임페리얼 밀키바닐라향 웨이퍼,효성임페리얼
55048,8801204204629,청우브루느와,청우
55049,8804433000727,삼아초코와플,삼아초코
55050,8801062521890,롯데빠다코코낫,롯데제과
55051,4711931008237,미성패밀리파인애플케익,미성패밀리
55052,8801117124205,오리온오그래놀라바단호박고구마,오리온
55053,8801117280314,오리온다이제,오리온
55055,8801013740097,큐원홈메이드초코칩쿠키340G,큐원
55056,8809617944743,길림양행군옥수수맛땅콩190G,길림양행
55063,8809617944729,길림양행허니버터땅콩190G,길림양행
55064,8809617943845,길림양행민트초코아몬드190G,길림양행
55066,8413700026263,지이디통상카르멘시타시나몬스틱18G,지이디통상
55100,8809759820059,네이처팜새콤달콤복숭아말랭이,네이처팜
55392,6942836719166,롯데허쉬키세스딸기,롯데제과
55393,6942836719111,롯데허쉬키세스트러플,롯데제과
55394,8718800010113,홈플러스풋볼미니초콜릿,홈플러스
55395,041186001559,델리팜앤디스민트파르페,델리팜
55396,8801019314292,해태칼로리바란스파인애플,해태
55397,8801019208119,해태얼초,해태
55398,880117432003,오리온닥터유에너지바,오리온
55401,8809004643525,건영푸드거봉코리아,건영푸드
55475,,디펜다트리오큐씨그레이프향,디펜다트
55476,7640122994301,디펜다트리오큐씨페퍼민트향,디펜다트
55485,8809617944934,길림양행청양마요아몬드,길림양행
55486,8809617944507,길림양행와사비맛아몬드,길림양행
55487,8809617944941,길림양행마늘빵아몬드,길림양행
55537,8801117432300,오리온초코파송이2개가한묶음,오리온
55538,8801117138103,마켓오오!그래놀라바카카오&유산균볼,마켓오오
55539,8809271410813,홈플러스해바라기초코볼,홈플러스
55605,8804433100991,삼아인터내셔날초코&와플,삼아인터
55606,8801019313929,해태오예스미니마스카포네치즈케익12개입,해태
55607,8801204205015,청우그랑쉘얼그레이10개입,청우
55609,2000000851754,이마트에그롤쿠키,이마트
55610,3178530402995,매크로통상본마망라스베리타르트,매크로통
55673,8809098092728,유기농산유기농퍼프포도야,유기농산
55674,8809098092711,유기농산유기농퍼프망고야,유기농산
55675,8809098091851,유기농산유기농현미로만든단호박볼,유기농산
55676,8809098091363,유기농산유기농쌀로만든사과떡튀밥,유기농산
55677,8809098091837,유기농산유기농현미로만든바나나볼,유기농산
55678,8809194825480,진터식품엄마미소유기농쌀과자과일,진터식품
55679,8809020764587,청오건강농업회사법인유기농팝짱백미,청오건강
55680,8809069960582,에이뷰유기농사과쌀떡뻥,에이뷰
55681,8809194825459,진터식품유기농쌀로만든쌀이팡(단호박)3봉,진터식품
55682,8801007026282,씨제이쁘띠첼워터젤리사과,씨제이제일제당
55683,8801007067285,씨제이쁘띠첼워터젤리포도,씨제이제일제당
55684,8801007038032,씨제이쁘띠젤워터젤리복숭아,씨제이제일제당
55687,8801019311895,해태초코틴틴18봉지,해태
55688,8801062894918,롯데제과허쉬카카오파이12봉,롯데제과
55690,8992775315095,다인인터내셔널게리치즈크래커,다인인터내셔널
55691,2000000851747,이마트티타임비스킷벨기에산,이마트
55697,8809069306625,돌망고젤리,Dole 코리아
55700,8809069309855,돌화이트코코젤리,Dole 코리아
55726,8993083930208,원더풀에프앤비)쿠기딸기맛와퍼스틱2팩,원더풀에프앤비
55727,8806075821043,신세계인터내셔날)명인이만든연근부각,신세계인터내셔날
55755,8806075859305,신세계인터내셔날)점보달고나,신세계인터내셔날
55763,8806078751934,신세계인터내셔날)아몬드토피쇼콜라8개입,신세계인터내셔날
55764,8806078751927,신세계인터내셔날)솔티드아몬드토피8개입,신세계인터내셔날
55765,8806078753785,신세계인터내셔날)아몬드초콜릿토피,신세계인터내셔날
55777,,진터식품)유기농쌀로만든쌀이팡(단호박),진터식품
55786,8852756305159,켈로그초코펀초코바나나바4개입,농심켈로그
55787,8710508771099,이멕스무역)코메츠6팩,이멕스무역
55788,9555115907979,효성인터내셔날)코코아웨이퍼8팩,효성인터내셔날
55796,8850291100499,빌그린)통가든파티스낵,빌그린
55800,8718469320912,이마트)오리지날젤리빈사우어세세이션,이마트
55805,8809286494327,보보에프엔지)바이오모멘트유기농볼롤리팝믹스,보보에프엔지
